Threshold,Key Comparisons,Time Taken (seconds)
1,60819309,0.531000
2,60819611,0.469000
3,60820659,0.447000
4,60819654,0.406000
5,60902383,0.391000
6,61361167,0.364000
7,61362034,0.363000
8,61360223,0.362000
9,61363810,0.361000
10,61360385,0.364000
11,62444639,0.348000
12,63555032,0.334000
13,63553243,0.330000
14,63546295,0.334000
15,63549693,0.335000
16,63545988,0.341000
17,63549965,0.335000
18,63553108,0.332000
19,63548120,0.334000
20,63554007,0.333000
21,63549218,0.336000
22,64177599,0.335000
23,69671352,0.322000
24,69686397,0.321000
25,69676007,0.330000
26,69673586,0.322000
27,69669883,0.321000
28,69676760,0.323000
29,69683754,0.321000
30,69678505,0.320000
31,69679613,0.326000
32,69664933,0.320000
33,69680658,0.322000
34,69660091,0.323000
35,69677527,0.321000
36,69669726,0.323000
37,69678353,0.321000
38,69663370,0.323000
39,69671287,0.325000
40,69667574,0.322000
41,69683268,0.321000
42,69661997,0.330000
43,69673805,0.349000
44,69680427,0.325000
45,72791940,0.324000
46,84166700,0.328000
47,84146515,0.327000
48,84165596,0.330000
49,84186401,0.326000
50,84141824,0.326000
51,84169314,0.330000
52,84174301,0.325000
53,84159759,0.327000
54,84174095,0.329000
55,84154449,0.327000
56,84153554,0.324000
57,84161526,0.338000
58,84158729,0.325000
59,84166185,0.327000
60,84170400,0.323000
61,84141835,0.332000
62,84166756,0.324000
63,84172986,0.329000
64,84143960,0.327000
65,84163384,0.333000
66,84150556,0.330000
67,84160272,0.332000
68,84165117,0.324000
69,84161928,0.327000
70,84153273,0.328000
71,84140177,0.327000
72,84157829,0.327000
73,84175834,0.330000
74,84194585,0.327000
75,84167337,0.325000
76,84163962,0.337000
77,84183654,0.328000
78,84160682,0.332000
79,84184345,0.324000
80,84194251,0.326000
81,84145358,0.327000
82,84161217,0.323000
83,84175513,0.328000
84,84156035,0.330000
85,84151117,0.332000
86,84159565,0.328000
87,84156715,0.331000
88,84158988,0.324000
89,84167121,0.324000
90,84147271,0.332000
91,98087347,0.339000
92,115719340,0.352000
93,115689146,0.358000
94,115684252,0.361000
95,115677263,0.356000
96,115660023,0.356000
97,115687824,0.357000
98,115723719,0.359000
99,115694865,0.354000
100,115679640,0.353000
