Threshold,Key Comparisons,Time Taken (seconds)
1,39349865,0.371000
2,39348673,0.297000
3,39348949,0.286000
4,39456986,0.263000
5,39455663,0.256000
6,39455001,0.258000
7,39640997,0.246000
8,40144015,0.225000
9,40147142,0.227000
10,40145076,0.230000
11,40144801,0.227000
12,40142892,0.229000
13,40143805,0.228000
14,40148203,0.229000
15,41771614,0.218000
16,42445590,0.217000
17,42448828,0.214000
18,42446472,0.214000
19,42441474,0.216000
20,42446109,0.215000
21,42445121,0.215000
22,42442984,0.213000
23,42443120,0.214000
24,42446765,0.213000
25,42448189,0.215000
26,42443751,0.212000
27,42444803,0.215000
28,42445668,0.217000
29,42454209,0.213000
30,45180667,0.213000
31,48370115,0.211000
32,48370621,0.213000
33,48367100,0.212000
34,48386810,0.209000
35,48383113,0.211000
36,48370906,0.213000
37,48375672,0.214000
38,48377424,0.211000
39,48356268,0.212000
40,48364231,0.212000
41,48378390,0.214000
42,48380537,0.212000
43,48373500,0.212000
44,48372746,0.213000
45,48367446,0.210000
46,48368433,0.212000
47,48364286,0.211000
48,48369947,0.213000
49,48370430,0.215000
50,48378049,0.209000
51,48384707,0.212000
52,48379463,0.210000
53,48378398,0.209000
54,48371005,0.211000
55,48364099,0.209000
56,48376548,0.212000
57,48363302,0.211000
58,48360994,0.218000
59,48362664,0.209000
60,48363899,0.214000
61,61327118,0.218000
62,61801786,0.217000
63,61770120,0.225000
64,61796095,0.217000
65,61805674,0.220000
66,61815406,0.221000
67,61814506,0.218000
68,61798527,0.218000
69,61799530,0.219000
70,61771938,0.220000
71,61802834,0.217000
72,61802907,0.217000
73,61792301,0.219000
74,61804592,0.219000
75,61807222,0.219000
76,61779915,0.219000
77,61813587,0.221000
78,61803088,0.217000
79,61788810,0.217000
80,61792972,0.218000
81,61789561,0.217000
82,61781212,0.218000
83,61810098,0.219000
84,61813149,0.217000
85,61781668,0.217000
86,61801894,0.216000
87,61797564,0.216000
88,61783202,0.218000
89,61777168,0.218000
90,61790843,0.216000
91,61802595,0.223000
92,61811104,0.234000
93,61781913,0.232000
94,61787888,0.226000
95,61791253,0.227000
96,61796695,0.220000
97,61783568,0.219000
98,61767218,0.217000
99,61810740,0.216000
100,61805850,0.221000
